,category,sub_category,href,items,price,category_mean_price,sub_cat_mean_price
0,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Fresh Dates (Pack) (Approx 450 g - 500 g),109 .0,174.0,84.0
1,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Fresh Dates (Pack) (Approx 450 g - 500 g),109.0,174.0,84.0
2,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Tender Coconut Cling Wrapped (1 pc) (Approx 900 g - 1300 g),49.0,174.0,84.0
3,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Mosambi 1 kg,69.0,174.0,84.0
4,Groceries,Premium Fruits,https://www.jiomart.com/c/groceries/premium-fruits/avocado-peach-plum/3108,Peach Sun Gold Premium Indian Pack 500 g,149.0,174.0,156.0
5,Groceries,Premium Fruits,https://www.jiomart.com/c/groceries/premium-fruits/avocado-peach-plum/3108,Plum Premium Indian Pack 500 g,149.0,174.0,156.0
6,Groceries,Premium Fruits,https://www.jiomart.com/c/groceries/premium-fruits/avocado-peach-plum/3108,Apricot Premium Indian Pack 500 g,169.0,174.0,156.0
7,Groceries,Dairy & Bakery,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,Parle Agro Smoodh Toffee Caramel Milkshake 85 ml (Tetra Pak),9.0,174.0,88.0
8,Groceries,Dairy & Bakery,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,Parle Agro Smoodh Chocolate Milkshake 85 ml (Tetra Pak),9.0,174.0,88.0
114,Fashion,Men,https://www.jiomart.com/c/fashion/men/clothing-accessories/497,Pack of 3 Patterned Socks,254.0,465.0,549.0
115,Fashion,Men,https://www.jiomart.com/c/fashion/men/clothing-accessories/497,Mensome Blue Cotton Silk Neck Tie Gift Set in Wooden Box,1195.0,465.0,549.0
"116,Fashion,Men,https://www.jiomart.com/c/fashion/men/clothing-accessories/497,""SLIMSHINE Men's & Women's Cotton Solid Loafer Socks, Pack of 4 ( Blue, Black, Grey, Silver )"",199.0,465.0,549.0"
117,Fashion,Women,https://www.jiomart.com/c/fashion/women/ethnic-wear/494,Indibelle Purple White Womens Rayon Floral Print Flared Kurta (M),1080.0,465.0,613.0
118,Fashion,Women,https://www.jiomart.com/c/fashion/women/ethnic-wear/494,Dsk Studio Women Green All over print Crepe Kurta,229.0,465.0,613.0
119,Fashion,Women,https://www.jiomart.com/c/fashion/women/ethnic-wear/494,Liklee Women Green Solid Satin Saree,529.0,465.0,613.0
120,Fashion,Boys,https://www.jiomart.com/c/fashion/boys/western-wear/500,NEW GEN Boys Green Printed Cotton Dungaree,277.0,465.0,355.0
121,Fashion,Boys,https://www.jiomart.com/c/fashion/boys/western-wear/500,Graphic Print Crew-Neck T-shirt,125.0,465.0,355.0
122,Fashion,Boys,https://www.jiomart.com/c/fashion/boys/western-wear/500,KUCHIPOO Boys Multi Color Printed Cotton Blend Pack of 5 Tshirts,664.0,465.0,355.0
123,Fashion,Girls,https://www.jiomart.com/c/fashion/girls/western-wear/564,IndiWeaves Girls Cotton Printed Capri 3/4th Pants (Pack of 8),899.0,465.0,642.0
168,Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,SERY Mattish Lipstick Sexy Dare 3.5 gm,411.0,800.0,411.0
169,Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,SERY Mattish Lipstick Honey Brown 3.5 gm,411.0,800.0,411.0
170,Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,SERY Mattish Lipstick Getting Warmer 3.5 gm,411.0,800.0,411.0
171,Beauty,Hair,https://www.jiomart.com/c/beauty/hair/hair-care/3155,L'Oreal Paris 6 Oil Nourish Shampoo 192.5 ml,170.0,800.0,107.0
172,Beauty,Hair,https://www.jiomart.com/c/beauty/hair/hair-care/3155,L'Oreal Paris Fall Resist 3X Anti Hairfall Shampoo 82.5 Ml,75.0,800.0,107.0
173,Beauty,Hair,https://www.jiomart.com/c/beauty/hair/hair-care/3155,L'Oreal Paris Extraordinary Clay Shampoo 82.5 Ml,75.0,800.0,107.0
174,Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/moisturizers/3159,The Natural Wash Pure Aloe Vera Gold Gel For Soothing & Hydrating With 24 Carat Gold 100 Gm,336.0,800.0,545.0
175,Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/moisturizers/3159,Soulflower Vitamin C 0.5% Green Tea Glowing Day Cream SPF30+ 50 gm,490.0,800.0,545.0
176,Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/moisturizers/3159,SUGAR Cosmetics Aquaholic Hydrating Stick 32 gm,809.0,800.0,545.0
177,Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/unisex/3176,Ajmal Dahnul Oudh Hayati Cp 6 Ml,625.0,800.0,630.0
